Metric,Value,Test_Folder,Model_Format,Model_Name
Average Frame Processing Time,0.0324 sec,test_4_10 seconds_15fps,Pt,yolov8s-seg
Target Class Score,0.00%,test_4_10 seconds_15fps,Pt,yolov8s-seg
Processing FPS,30.85 fps,test_4_10 seconds_15fps,Pt,yolov8s-seg
Total time,4.33 sec,test_4_10 seconds_15fps,Pt,yolo11n-seg
Video FPS,15 fps,test_4_10 seconds_15fps,Pt,yolo11n-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,Pt,yolo11n-seg
Average Frame Processing Time,0.0287 sec,test_4_10 seconds_15fps,Pt,yolo11n-seg
Target Class Score,0.00%,test_4_10 seconds_15fps,Pt,yolo11n-seg
Processing FPS,34.89 fps,test_4_10 seconds_15fps,Pt,yolo11n-seg
Total time,3.72 sec,test_4_10 seconds_15fps,TensorRT,yolov8n-seg
Video FPS,15 fps,test_4_10 seconds_15fps,TensorRT,yolov8n-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,TensorRT,yolov8n-seg
Average Frame Processing Time,0.0246 sec,test_4_10 seconds_15fps,TensorRT,yolov8n-seg
Target Class Score,0.00%,test_4_10 seconds_15fps,TensorRT,yolov8n-seg
Processing FPS,40.60 fps,test_4_10 seconds_15fps,TensorRT,yolov8n-seg
Total time,6.26 sec,test_4_10 seconds_15fps,TensorRT,yolo11m-seg
Video FPS,15 fps,test_4_10 seconds_15fps,TensorRT,yolo11m-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,TensorRT,yolo11m-seg
Average Frame Processing Time,0.0414 sec,test_4_10 seconds_15fps,TensorRT,yolo11m-seg
Target Class Score,0.79%,test_4_10 seconds_15fps,TensorRT,yolo11m-seg
Processing FPS,24.13 fps,test_4_10 seconds_15fps,TensorRT,yolo11m-seg
Total time,5.87 sec,test_4_10 seconds_15fps,TensorRT,yolov8m-seg
Video FPS,15 fps,test_4_10 seconds_15fps,TensorRT,yolov8m-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,TensorRT,yolov8m-seg
Average Frame Processing Time,0.0389 sec,test_4_10 seconds_15fps,TensorRT,yolov8m-seg
Target Class Score,0.39%,test_4_10 seconds_15fps,TensorRT,yolov8m-seg
Processing FPS,25.74 fps,test_4_10 seconds_15fps,TensorRT,yolov8m-seg
Total time,4.55 sec,test_4_10 seconds_15fps,TensorRT,yolo11s-seg
Video FPS,15 fps,test_4_10 seconds_15fps,TensorRT,yolo11s-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,TensorRT,yolo11s-seg
Average Frame Processing Time,0.0302 sec,test_4_10 seconds_15fps,TensorRT,yolo11s-seg
Target Class Score,0.00%,test_4_10 seconds_15fps,TensorRT,yolo11s-seg
Processing FPS,33.15 fps,test_4_10 seconds_15fps,TensorRT,yolo11s-seg
Total time,4.63 sec,test_4_10 seconds_15fps,TensorRT,yolov8s-seg
Video FPS,15 fps,test_4_10 seconds_15fps,TensorRT,yolov8s-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,TensorRT,yolov8s-seg
Average Frame Processing Time,0.0307 sec,test_4_10 seconds_15fps,TensorRT,yolov8s-seg
Target Class Score,0.00%,test_4_10 seconds_15fps,TensorRT,yolov8s-seg
Processing FPS,32.59 fps,test_4_10 seconds_15fps,TensorRT,yolov8s-seg
Total time,3.66 sec,test_4_10 seconds_15fps,TensorRT,yolo11n-seg
Video FPS,15 fps,test_4_10 seconds_15fps,TensorRT,yolo11n-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,TensorRT,yolo11n-seg
Average Frame Processing Time,0.0243 sec,test_4_10 seconds_15fps,TensorRT,yolo11n-seg
Target Class Score,0.00%,test_4_10 seconds_15fps,TensorRT,yolo11n-seg
Processing FPS,41.21 fps,test_4_10 seconds_15fps,TensorRT,yolo11n-seg
Total time,5.91 sec,test_4_10 seconds_15fps,onnx,yolov8n-seg
Video FPS,15 fps,test_4_10 seconds_15fps,onnx,yolov8n-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,onnx,yolov8n-seg
Average Frame Processing Time,0.0392 sec,test_4_10 seconds_15fps,onnx,yolov8n-seg
Target Class Score,0.00%,test_4_10 seconds_15fps,onnx,yolov8n-seg
