Test_Folder,Model_Format,Model_Name,Average Frame Processing Time,Processing FPS,Target Class Score,Total time,Video Duration,Video FPS
test_3_1 seconds_15fps,onnx,yolov8s-seg,0.2564 sec,3.90 fps,47.34%,3.85 sec,1.00 sec,15 fps
test_4_10 seconds_15fps,Pt,yolo11m-seg,0.0509 sec,19.64 fps,0.57%,7.69 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,Pt,yolo11n-seg,0.0287 sec,34.89 fps,0.00%,4.33 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,Pt,yolo11s-seg,0.0323 sec,30.98 fps,0.00%,4.87 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,Pt,yolov8m-seg,0.0485 sec,20.62 fps,0.39%,7.32 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,Pt,yolov8n-seg,0.0268 sec,37.26 fps,0.00%,4.05 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,Pt,yolov8s-seg,0.0324 sec,30.85 fps,0.00%,4.89 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,TensorRT,yolo11m-seg,0.0414 sec,24.13 fps,0.79%,6.26 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,TensorRT,yolo11n-seg,0.0243 sec,41.21 fps,0.00%,3.66 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,TensorRT,yolo11s-seg,0.0302 sec,33.15 fps,0.00%,4.55 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,TensorRT,yolov8m-seg,0.0389 sec,25.74 fps,0.39%,5.87 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,TensorRT,yolov8n-seg,0.0246 sec,40.60 fps,0.00%,3.72 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,TensorRT,yolov8s-seg,0.0307 sec,32.59 fps,0.00%,4.63 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,onnx,yolo11m-seg,0.1009 sec,9.91 fps,0.78%,15.24 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,onnx,yolo11n-seg,0.0413 sec,24.22 fps,0.00%,6.23 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,onnx,yolo11s-seg,0.0611 sec,16.36 fps,0.00%,9.23 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,onnx,yolov8m-seg,0.0876 sec,11.42 fps,0.39%,13.22 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,onnx,yolov8n-seg,0.0392 sec,25.54 fps,0.00%,5.91 sec,10.07 sec,15 fps
test_4_10 seconds_15fps,onnx,yolov8s-seg,0.0655 sec,15.26 fps,0.00%,9.90 sec,10.07 sec,15 fps
test_5_2 seconds_30fps,Pt,yolo11m-seg,0.0543 sec,18.43 fps,2.30%,3.31 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,Pt,yolo11n-seg,0.0302 sec,33.11 fps,0.00%,1.84 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,Pt,yolo11s-seg,0.0351 sec,28.48 fps,0.00%,2.14 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,Pt,yolov8m-seg,0.0514 sec,19.45 fps,6.02%,3.14 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,Pt,yolov8n-seg,0.0280 sec,35.65 fps,0.00%,1.71 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,Pt,yolov8s-seg,0.0344 sec,29.09 fps,0.00%,2.10 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,TensorRT,yolo11m-seg,0.0441 sec,22.66 fps,3.02%,2.69 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,TensorRT,yolo11n-seg,0.0253 sec,39.54 fps,0.00%,1.54 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,TensorRT,yolo11s-seg,0.0316 sec,31.61 fps,0.00%,1.93 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,TensorRT,yolov8m-seg,0.0403 sec,24.78 fps,6.11%,2.46 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,TensorRT,yolov8n-seg,0.0234 sec,42.76 fps,0.00%,1.43 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,TensorRT,yolov8s-seg,0.0317 sec,31.55 fps,0.00%,1.93 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,onnx,yolo11m-seg,0.1403 sec,7.13 fps,3.05%,8.56 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,onnx,yolo11n-seg,0.0543 sec,18.42 fps,0.00%,3.31 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,onnx,yolo11s-seg,0.0866 sec,11.55 fps,0.00%,5.28 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,onnx,yolov8m-seg,0.1154 sec,8.67 fps,6.12%,7.04 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,onnx,yolov8n-seg,0.0490 sec,20.41 fps,0.00%,2.99 sec,2.03 sec,30 fps
test_5_2 seconds_30fps,onnx,yolov8s-seg,0.1007 sec,9.93 fps,0.00%,6.14 sec,2.03 sec,30 fps
